,Title,type_area,value_area,status,floor,transaction,furnishing,facing,price,price_sqft,description
10,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Super Area,1085 sqft,Poss. by Dec '24,9 out of 14,New Property,Unfurnished,North - East,â‚¹48 Lac ,"â‚¹4,424 per sqft ","2bhk Under Custruction property Available for sale in Shilp Reventa, Shela. call for more option...Read more"
11,2 BHK Apartment for Sale in Zundal Ahmedabad,Carpet Area,86 sqyrd,Ready to Move,6 out of 7,Resale,Furnished,East,â‚¹45 Lac ,"â‚¹3,968 per sqft ","Ahmedabads residential project, Shree Infrastructure Vivan 101 is offering property for sale. It is a Under Construction project by Shree Infrastructure Gandhinagar. Shree Infrastructure Vivan 101 is set in an area of 0.04843893 Acres and is complete with various modernday amenities. Shree Infrastructure Vivan 101 was launched in November 2017 and possession date is Mar, 2020. There are 2 buildings. Shree Infrastructure Vivan 101 is located in Zundal, Gandhinagar  Sabarmati.Read more"
12,"1 BHK Apartment for Sale in Savvy Studioz, Jagatpur Ahmedabad",Super Area,635 sqft,Ready to Move,6 out of 14,Resale,Furnished,North,â‚¹38 Lac ,"â‚¹5,984 per sqft ",it fully Furnished property. well maintained Funritue.
13,"2 BHK Apartment for Sale in Devam, Jagatpur Ahmedabad",Carpet Area,75 sqyrd,Ready to Move,7 out of 7,Resale,Unfurnished,East,â‚¹50 Lac ,"â‚¹4,480 per sqft ",2bhk residencial apartment on resale in devam apartment with all amenities  near jagatpur s g highway .Read more
14,"2 BHK Apartment for Sale in Orchid Blues, Shela Ahmedabad",Carpet Area,668 sqft,Ready to Move,4 out of 13,New Property,Unfurnished,East,â‚¹42.5 Lac ,"â‚¹3,500 per sqft ","Orchid Blues are smartly designed affordable homes to elevate the comfort quotient of your life. These 2 BHK apartments offer you an uninterrupted view of the skyline to amplify your moments. Located near elite properties behind Applewoods Township, it is the prime residential area.Read more"
15,"2 BHK Apartment for Sale in Vivaan Essence, Zundal Ahmedabad",Carpet Area,86 sqyrd,Poss. by Dec '25,5 out of 14,New Property,Unfurnished,East,â‚¹49.9 Lac ,"â‚¹3,556 per sqft ","Zundal is wellconnected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.Enjoy a host of facilities at Vivaan Essence which includes Power Backup. The property is equipped with Fire Sprinklers. Own a home in Vivaan Essence today.Read more"
16,"2 BHK Apartment for Sale in Aadhvan Rise, South Bopal, Bopal Ahmedabad",Carpet Area,687 sqft,Ready to Move,5 out of 13,New Property,Unfurnished,North,â‚¹50 Lac ,"â‚¹4,367 per sqft ","A very good 2bhk flat for rent in South-bopal. very prominent location near to School,Hospital,garden,temple,essential day to day shopping etc.   It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay.  The appeal of the flat has been increased with the availability of a piped-Gas. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center, fitness centregym  etc.  It has a super built-Up area of 1905 sq. Ft.  Other facilities include liftS and park etc. It also has vitrified flooring.   1 covered parking. Additional details  The society has dedicated security guards for every tower. Full power backup is available. Daily needs shopping could be done within the society premises to make the stay convinent. The apartment has borings water supply. Piped gas facility is available in the property More options available in BopalSouth bopalShelaShilaj  Semi furnishedFurnished Office address Choice Realty B-301 Kavisha Celebration city center Gala-gym khana Road South bopal Ahmedabad-380058Read more"
17,"2 BHK Apartment for Sale in Sun Parkwest, Shela Ahmedabad",Carpet Area,709 sqft,Poss. by Dec '26,5 out of 14,New Property,Unfurnished,East,â‚¹43.2 Lac ,"â‚¹3,350 per sqft ","An excellent 2 and 3 bhk residential Project in shela, ahmedabad west. It is a very good property and has 1 balconys which make the apartment more spacious. In addition, it has study room and is available for family.  It is on the 5th floor . 1 covered parking.Read more"
18,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Super Area,1085 sqft,Poss. by Dec '24,9 out of 14,New Property,Unfurnished,North - East,â‚¹45 Lac ,"â‚¹4,147 per sqft ","Check out Shilp Ananta in Shela, one of the upcoming underconstruction housing societies in Ahmedabad West. There are apartments for sale in Shilp Ananta. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.  Brought to you by Shilp Group,  Shilp Ananta is scheduled for possession in Dec, 2024.Read more"
19,2 BHK Apartment for Sale in Atlantis wave Ahmedabad,Carpet Area,767 sqft,Poss. by Jul '26,4 out of 14,New Property,Unfurnished,East,â‚¹48 Lac ,"â‚¹3,441 per sqft ",2bhk flats for sale in Zundal with prime location
20,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Carpet Area,596 sqft,Poss. by Dec '24,5 out of 13,New Property,Unfurnished,East,â‚¹43.4 Lac ,"â‚¹4,000 per sqft ","The wellknown builder Shilp Group has developed Shilp Ananta project. Shilp Ananta is creating a benchmark with topinclass amenities including Mini Cinema Theatre, Infinity Swimming Pool, Lift, Meditation Area, Banquet Hall, Aesthetically designed landscape garden, Community entrance gate, Library And Business Centre, Power Back Up, Security. Shilp Ananta lets you enjoy a convenient lifestyle with all contemporary conveniences at your disposal.Read more"
21,"2 BHK Apartment for Sale in Pacifica Amara, Sanand Ahmedabad",Carpet Area,575 sqft,Poss. by Dec '24,8 out of 14,New Property,Unfurnished,East,â‚¹39 Lac ,"â‚¹3,725 per sqft ","In a city of millions of aspirations and dreams, where businesses thrive and the bustle is ceaseless, everyone is seeking an oasis of peace, connection and security. Amara, that means everlasting or immortal in Sanskrit, by Pacifica, is a residential gated community that gives you this experience of tranquil, connected living amidst the comfort of modern amenities.Located near Gokuldham off Sanand Highway in Ahmedabad, Amara prides itself on being much more than a place where people live in their manufactured homes.Read more"
22,"3 BHK Apartment for Sale in Pacifica Amara, Sanand Ahmedabad",Carpet Area,774 sqft,Poss. by Dec '25,4 out of 14,New Property,Unfurnished,Main Road,â‚¹44 Lac ,"â‚¹3,125 per sqft ","In a city of millions of aspirations and dreams, where businesses thrive and the bustle is ceaseless, everyone is seeking an oasis of peace, connection and security. Amara, that means everlasting or immortal in Sanskrit, by Pacifica, is a residential gated community that gives you this experience of tranquil, connected living amidst the comfort of modern amenities.Read more"
23,"2 BHK Apartment for Sale in Zaveri Greens, Ghuma Ahmedabad",Carpet Area,684 sqft,Poss. by Dec '24,7 out of 14,New Property,Unfurnished,East,â‚¹44.8 Lac ,"â‚¹3,600 per sqft ","Zaveri Greens is a residential project in Ghuma, Ahmedabad. It is set in an area of 2.02 Acres . Zaveri Greens offers Apartment.Read more"
24,"2 BHK Apartment for Sale in Mahadev Lavish, South Bopal, Bopal Ahmedabad",Carpet Area,704 sqft,Poss. by Dec '25,2 out of 14,New Property,Unfurnished,East,â‚¹49 Lac ,"â‚¹3,828 per sqft ","A world class Residential project, it is among the finest properties available around. The residential dwellings are in Under Construction state.The uniquely designed 2 BHK Flat comes in a variety of floor plans of 1280 sq. ft super area. The bathrooms are fixed with worldclass fittings. Balconies are wellventilated in all the configurations.Read more"
25,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Super Area,1090 sqft,Poss. by Dec '24,8 out of 14,Resale,Unfurnished,North - East,â‚¹48 Lac ,"â‚¹4,404 per sqft ",This property is in Shela area.
26,"2 BHK Apartment for Sale in Sun Footprints, Shela Ahmedabad",Carpet Area,596 sqft,Poss. by Dec '25,7 out of 14,New Property,Unfurnished,East,â‚¹42.9 Lac ,"â‚¹3,960 per sqft ",Move in move forwardguide your family dreams and ambitions in the right direction.Read more
27,"2 BHK Apartment for Sale in Eden Godrej Garden city, Jagatpur Village, Gota Ahmedabad",Super Area,1100 sqft,Ready to Move,7 out of 12,Resale,Unfurnished,North - West,â‚¹49.5 Lac ,"â‚¹4,500 per sqft ","Godrej Garden City, located in Gota, Ahmedabad, is a readytomove project by Godrej Properties Ltd. It offers 2, 3, and 3.5 BHK apartments with a construction status of Ready to Move. The project spans an area of 1262  2253 sq.ft. and consists of 3948 units spread across 67 towers. The project is registered under the RERA ID PRGJAHMEDABADAHMEDABAD CITYAUDARAA00442141017, PRGJAHMEDABADAHMEDABAD CITYAUDARAA03063030718, PRGJAHMEDABADAHMADABAD CITYAUDARAA00057EX1140219, PRGJAHMEDABADAHMADABAD CITYAUDARAA00114080917. Home loans are available from HDFC.There are 3948 unitRead more"
28,"2 BHK Apartment for Sale in Sun Footprints, Shela Ahmedabad",Super Area,1220 sqft,Poss. by Dec '25,10 out of 14,New Property,Unfurnished,East,â‚¹37.8 Lac ,"â‚¹3,100 per sqft ","2 BHK flat for sale in prime location of Shela with all modern amenities and connected to main road. It has school, market, hospital within the range of 1 km. This project is being developed by Sun Builders who have renounced name in the cityRead more"
29,"2 BHK Apartment for Sale in Kavisha AER, Shela Ahmedabad",Carpet Area,700 sqft,Poss. by May '26,8 out of 14,New Property,Unfurnished,East,â‚¹47 Lac ,"â‚¹3,760 per sqft ","Kavisha Aer is a project by Kavisha Group in Ahmedabad. It is a Under Construction project. Kavisha Aer offers some of the most conveniently designed Apartment. Located in Sanand, it is a residential project. The project is spread over 0.19 Acres . It has 392 units. There are 7 buildings in this project. Kavisha Aer offers some of the most exclusive 2 BHK, 3 BHK.Read more"
30,"2 BHK Apartment for Sale in Sacred Shivansh, Shela Ahmedabad",Super Area,1260 sqft,Poss. by Dec '26,9 out of 14,New Property,Unfurnished,East,â‚¹44.7 Lac ,"â‚¹3,550 per sqft ","Your gateway to elegant living in the heart of Shela, one of the most thriving areas in Ahmedabad. Offering premium 2 and 3BHK homes, our exquisite development presents a harmonious blend of sophistication and convenience.Embrace a lifestyle of sheer luxury with our array of stunning, unique, and upscale amenities, boasting more than 15 choices including a serene Yoga Area, invigorating Jogging track, exhilarating Skating Ring, exclusive Clubhouse, and secure Basement Parking, among many others.Read more"
31,"2 BHK Apartment for Sale in Sheladia Eris, Shela Ahmedabad",Carpet Area,750 sqft,Poss. by Nov '24,10 out of 14,New Property,Unfurnished,North - East,â‚¹49.3 Lac ,"â‚¹4,285 per sqft ","Residential project, Sheladia Eris in Ahmedabad is offering units for sale in Shela. Check out some Apartment that suit your lifestyle and liking. Possession date of Sheladia Eris is Mar, 2026. The property offers 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 580.0  781.0 sq.ft.. The project by Sheladia Projects is set in 2.23 Acres . This residential project was launched in July 2021. It has 559 units. There are 10 buildings in this project. Contact for further details. Sheladia Eris is located in Opp Shanti Asiatic School, Shela.Read more"
32,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Super Area,1085 sqft,Poss. by Dec '24,6 out of 14,New Property,Unfurnished,East,â‚¹47 Lac ,"â‚¹4,332 per sqft ",These 2bhk properties are available for sale in very well developed scheme with tons of amenities in Shela. The properties are available at very reasonable rate with in one of the most developing area and in one of the well renowned Builder Group.Read more
33,2 BHK Apartment for Sale in Shela Ahmedabad,Carpet Area,610 sqft,Poss. by Oct '25,9 out of 14,New Property,Unfurnished,East,â‚¹47.9 Lac ,"â‚¹4,350 per sqft ","Being the topnotch project in the residential segment, presenting to you  23 BHK luxurious apartments and shops is situated at Shela AhmedabadRead more"
34,2 BHK Apartment for Sale in Gota Ahmedabad,Carpet Area,649 sqft,Poss. by Dec '25,7 out of 10,New Property,Unfurnished,East,â‚¹48 Lac ,"â‚¹4,067 per sqft ","Saanvi Aarambh Vistara in Gota , one of the upcoming underconstruction housing societies in Ahmedabad North. There are apartments for sale in Saanvi Aarambh Vistara. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.Read more"
35,"2 BHK Apartment for Sale in HR Eternia, Shela Ahmedabad",Carpet Area,605 sqft,Poss. by Oct '25,9 out of 14,New Property,Unfurnished,East,â‚¹40.7 Lac ,"â‚¹3,700 per sqft ","Discover the perfect blend of affordability and luxury in Shelas best 2BHK apartments. Enjoy topnotch amenities, including a fitness center, pool, and green spaces, creating an ideal living experience for you and your family. Explore the epitome of comfort without compromising your budgetRead more"
36,"2 BHK Apartment for Sale in Indraprasth Ixora, Shela Ahmedabad",Carpet Area,750 sqft,Poss. by Jan '26,5 out of 14,New Property,Unfurnished,East,â‚¹49 Lac ,"â‚¹3,630 per sqft ","Indraprasth Ixora is a residential project in Shela, Ahmedabad. Indraprasth Ixora offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 1350.0  1750.0 sq.ft.. The property is Under Construction. There are 5 buildings for sale. The project was launched in November 2023 and possession date of Indraprasth Ixora is Jun, 2027. Indraprasth Ixora is located in Indraprasth IxoraBh Club O7, Nr. Shanti Asiatic School, Off. 45 Mt. Ghumasanand Road, Shela. The project is developed by Deep Group Of Companies. There are 280 units for saRead more"
37,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Carpet Area,590 sqft,Poss. by Aug '24,14 out of 14,Resale,Unfurnished,East,â‚¹47 Lac ,"â‚¹4,332 per sqft ","Shilp Ananta, a name that talks of infinity, is here to bestow upon you a life that youve dreamt of with unending comfort and luxury. The 2BHK residential retreat located in Shela, serves as an extension of your own home, with handsomely appointed amenities devoted to enhance daily life.Read more"
38,"2 BHK Apartment for Sale in Zaveri Greens, Ghuma Ahmedabad",Carpet Area,1244 sqft,Poss. by Dec '24,5 out of 14,New Property,Unfurnished,East,â‚¹42.3 Lac ,"â‚¹3,400 per sqft ",2 BHK Big size flat with all modern amenites and 2 road corner project. and 14 storey buildiing. limited tower.Read more
39,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Carpet Area,597 sqft,Poss. by Oct '24,5 out of 14,New Property,Unfurnished,West,â‚¹45.6 Lac ,"â‚¹4,198 per sqft ","Check out Shilp Ananta in Shela, one of the upcoming underconstruction housing societies in Ahmedabad West. There are apartments for sale in Shilp Ananta. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.  Brought to you by Shilp Group,  Shilp Ananta is scheduled for possession in Dec, 2024.Read more"
40,"2 BHK Apartment for Sale in Sun Parkwest, Shela Ahmedabad",Super Area,1290 sqft,Poss. by Dec '26,7 out of 14,New Property,Unfurnished,East,â‚¹43.2 Lac ,"â‚¹3,350 per sqft ","For those looking to buy a residential property, here comes one of the choicest offerings in Ahmedabad West, at Shela. Brought to you by Sun Builders, Sun Parkwest is among the newest addresses for homebuyers. This is an underconstruction project right now, and is expected to be delivered by Jun, 2026. It has a variety of options to choose from that too in a varied budget range.Read more"
41,"2 BHK Apartment for Sale in Kavisha Atria, Shela Ahmedabad",Carpet Area,621 sqft,Poss. by Dec '26,3 out of 14,New Property,Unfurnished,East,â‚¹41.8 Lac ,"â‚¹3,700 per sqft ","Experience luxury living in Kavisha Atria, Shela with these exquisite 2 BHK apartments. Enjoy modern amenities, elegant design, and a prestigious location in Ahmedabad. Elevate your lifestyle with comfort and sophistication.Read more"
42,"2 BHK Apartment for Sale in Shoolin Kopren Park View, Vasant Nagar Ahmedabad",Carpet Area,717 sqft,Poss. by Dec '24,5 out of 9,New Property,Unfurnished,East,â‚¹46 Lac ,"â‚¹3,525 per sqft ",Multiple Option Available in Kopren Park View and good location.
43,"1 BHK Apartment for Sale in Aarambh Zest, Gota Ahmedabad",Carpet Area,456 sqft,Poss. by Mar '25,5 out of 10,New Property,Unfurnished,East,â‚¹29 Lac ,"â‚¹3,314 per sqft ","Saanvi Aarambh Zest is a residential development in Gota, Ahmedabad North. The project is built by Saanvi Nirman. They provide 1BHK apartments with all necessities.Read more"
44,"2 BHK Apartment for Sale in Indraprasth Ixora, Shela Ahmedabad",Carpet Area,1350 sqft,Poss. by Jun '27,Ground out of 14,New Property,Unfurnished,East,â‚¹48.6 Lac ,"â‚¹3,600 per sqft ",The property is situated in one of the most developing area of Ahmedabad.Read more
45,2 BHK Apartment for Sale in Aarohi Club Road Ahmedabad,Carpet Area,748 sqft,Poss. by Dec '25,5 out of 14,New Property,Unfurnished,East,â‚¹50 Lac ,"â‚¹3,676 per sqft ",The project is spread over an area of 1.53 acres. There are around 220 units on offer. Peony Savera Prarambh Ghuma housing society has 4 towers with 13 floors.Read more
46,"3 BHK Apartment for Sale in Orchid Valley, Shela Ahmedabad",Carpet Area,700 sqft,Poss. by Dec '24,6 out of 16,New Property,Unfurnished,East,â‚¹41.9 Lac ,"â‚¹3,123 per sqft ","Strategically situated near Club O7, Shela, this project is a dream come true within a budget. From the location standpoint, it is one of the most rapidly growing residential areas of the city.Orchid Valley is conveniently situated in the Shela, Ahmedabad and is a project that is well planned. Enjoy a niche living experience in this complex with units available from Rs. 38. 0 Lac - 50. 3 LacRead more"
47,"2 BHK Apartment for Sale in Sheladia Eris, Shela Ahmedabad",Carpet Area,632 sqft,Poss. by Aug '24,8 out of 14,New Property,Unfurnished,East,â‚¹50 Lac ,"â‚¹4,348 per sqft ","Sheladia Eris in Shela, Ahmedabad West is a readytomove housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2BHK and 3BHK apartments available in this project. This housing society is now ready to be called home as families have started moving in.Read more"
48,"2 BHK Apartment for Sale in Mahadev Harsh Platinum 3, Bopal Ahmedabad",Carpet Area,561 sqft,Ready to Move,5 out of 8,Resale,Unfurnished,East,â‚¹44 Lac ,"â‚¹4,314 per sqft ","Mahadev Harsh Platinum 3 is strategically located at Bopal with a seamless connectivity to the prominent areas of Ahmedabad. The postal address of Mahadev Harsh Platinum 3 in Ahmedabad is Telav  Ghuma Rd, Ghuma, Ahmedabad, Gujarat, 380058.2 Bhk appartment. Spacious and joyous. Respected community. All festivals are celebrated here. Every month they find reason to party. Location is also attractive as it is in middle of south, North bopal and Ghuma. Best place to live. nest flat for buy . You can check this sample house is readyRead more"
49,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Carpet Area,610 sqft,Poss. by Jul '24,7 out of 14,New Property,Unfurnished,East,â‚¹50 Lac ,"â‚¹4,608 per sqft ","Check out Shilp Ananta in Shela, one of the upcoming underconstruction housing societies in Ahmedabad West. There are apartments for sale in Shilp Ananta. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.  Brought to you by Shilp Group,  Shilp Ananta is scheduled for possession in June, 2024, the project details and other important information is also available on stateRead more"
50,2 BHK Apartment for Sale in Ahmedabad,Carpet Area,600 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,1,â‚¹25 Lac ,,"2 BHK, Multistorey Apartment is available for Sale in , Ahmedabad for 25.0 Lac(s)Read more"
51,"2 BHK Apartment for Sale in CTM, Amraiwadi Ahmedabad",Carpet Area,777 sqft,Ready to Move,Resale,Semi-Furnished,"Garden/Park, Pool",2,â‚¹45 Lac ,"â‚¹4,054 per sqft ",Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more
52,"1 BHK Apartment for Sale in Applewood Estate Satyesh Residency, Bopal Ahmedabad",Super Area,646 sqft,Ready to Move,9 out of 14,Resale,Unfurnished,East,â‚¹20.5 Lac ,"â‚¹3,173 per sqft ","1 BHK, Multistorey Apartment is available for Sale in Bopal, Ahmedabad for 20.50 Lac(s)Read more"
53,2 BHK Apartment for Sale in Jagatpur Ahmedabad,Carpet Area,638 sqft,Poss. by Dec '25,6 out of 10,New Property,Unfurnished,East,â‚¹43.9 Lac ,"â‚¹3,777 per sqft ",spacious Project on 100 mtr road jagatpur
54,"2 BHK Apartment for Sale in Kavisha AER, Shela Ahmedabad",Carpet Area,687 sqft,Poss. by Dec '25,8 out of 14,New Property,Unfurnished,East,â‚¹46.3 Lac ,"â‚¹3,700 per sqft ","A quiet and beautiful apartment located in heart of the city is available on sale in Ahmedabad west . Property is nicely located with all facilities nearby such as market, Hospital, Mother dairy, Shopping mall, Bus stand etc. Sector is very posh and premium.Read more"
55,"2 BHK Apartment for Sale in Silverline Residency, New CG Road Ahmedabad",Carpet Area,783 sqft,Ready to Move,2 out of 5,Resale,Furnished,West,â‚¹50 Lac ,"â‚¹4,444 per sqft ",2bhk flat at good locationmaintain good locality.
56,"2 BHK Apartment for Sale in Ganesh Genesis, Jagatpur Village, Gota Ahmedabad",Super Area,1260 sqft,Ready to Move,5 out of 11,Resale,Unfurnished,East,â‚¹48 Lac ,"â‚¹3,810 per sqft ","A quiet and beautiful apartment located in heart of the city is available on sale in Ahmedabad. Property is nicely located with all facilities nearby such as market, hospital, mother dairy, shopping mall, bus stand etc. Sector is very posh and premium.A quiet and beautiful apartment located in heart of the city is available on sale in Ahmedabad. Property is nicely located with all facilities nearby such as market, hospital, mother dairy, shopping mall, bus stand etc. Sector is very posh and premium.A quiet and beautiful apartment located in heart of the city is available on sale in Ahmedabad.Read more"
57,"2 BHK Apartment for Sale in Zaveri Greens, Ghuma Ahmedabad",Super Area,1244 sqft,Poss. by Jun '26,New Property,Unfurnished,Zaveri Greens,1 Covered,â‚¹42.3 Lac ,"â‚¹3,400 per sqft ","Zaveri Greens thoughtfully designed spaces and wide variety of amenities to keep everyone from toddlers to teenagers to seniors entertained. Surrounded by the manicured green landscape is the bright, well-equipped fitness center has all the equipments to cater to functional cardio and weight activities.Young children can play, finger-paint, build with blocks, and read picture books in the ChildrenÃ¢??s Playroom. Meanwhile, older kids can choose between a range of games from ping-pong to board games in the Game Room.Read more"
58,"3 BHK Apartment for Sale in Zion Heights, Vastral Ahmedabad",Super Area,1773 sqft,Ready to Move,8 out of 12,Resale,Unfurnished,"Garden/Park, Pool, Main Road",â‚¹54 Lac ,"â‚¹3,046 per sqft ",luxurious flate in comparative price ..
59,"1 BHK Apartment for Sale in Applewood Estate Satyesh Residency, Bopal Ahmedabad",Super Area,646 sqft,Ready to Move,5 out of 14,Resale,Unfurnished,"Garden/Park, Main Road",â‚¹25 Lac ,"â‚¹3,870 per sqft ","Charming 1bedroom, 1bath, 646.0 Sqft apartment on the 5nd floor of a 14floor building. Fully furnished, priced at approximately 26 Lac. Located in the serene Applewood Estate Satyesh Residency, Bopal.Read more"
60,2 BHK Apartment for Sale in Vatva Ahmedabad,Carpet Area,800 sqft,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",â‚¹33 Lac ,"â‚¹2,887 per sqft ","2 BHK, Multistorey Apartment is available for Sale in Vatva, Ahmedabad for 33.0 Lac(s)Read more"
61,2 BHK Apartment for Sale in Ranip Ahmedabad,Carpet Area,681 sqft,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",â‚¹42.5 Lac ,"â‚¹4,363 per sqft ","Multistorey apartment is available for sale. It covered area of 974  sq-ft, it is a good location property. Please contact for more details.Read more"
62,2 BHK Apartment for Sale in Zundal Ahmedabad,Carpet Area,718 sqft,Poss. by Dec '24,4 out of 7,New Property,Unfurnished,East,â‚¹47.7 Lac ,"â‚¹3,655 per sqft ","Griham Orchid is a project by Griham Infra in Zundal  . It is a Under Construction project. Griham Orchid offers some of the most conveniently designed Apartment.Unlock the perfect blend of comfort and  to connectivity with under construction 2BHK and 3BHK flat for sale. Nestled in a highly appreciating area, this property offers seamless access to essential amenities and transportation links. Experience the convenience of urban living while enjoying the tranquility of a wellconnected neighborhood. Invest in your dream home today  embrace a lifestyle  of accessibilityRead more"
63,"2 BHK Apartment for Sale in Vandematram City, Gota Ahmedabad",Super Area,1273 sqft,Ready to Move,5 out of 5,Resale,Semi-Furnished,Vandematram City,â‚¹48 Lac ,"â‚¹3,771 per sqft ","2 BHK, Multistorey Apartment is available for Sale in Gota, Ahmedabad for 48.0 Lac(s)Read more"
64,"2 BHK Apartment for Sale in Shilp Ananta, Shela Ahmedabad",Carpet Area,572 sqft,Poss. by Dec '24,8 out of 14,Resale,Unfurnished,East,â‚¹47.5 Lac ,"â‚¹4,378 per sqft ",nice society for people having a small family or who love living in cozy house with their whole family.Read more
